iteration	commit	metric	delta	status	guard	description
0	-	<baseline>	0.0	baseline	pass	initial measurement
1	0d65227c81a6ffcb1f8b09486ca3196c8d5385de	125.00	5.5	keep	pass	route to best cache rank only if token load difference is < 8192
